Year,Sport,Event,Medal,Country
1904,Athletics,Athletics Men's Marathon,Bronze,USA
1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",Bronze,USA
1924,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,USA
1956,Athletics,Athletics Men's Shot Put,Silver,USA
1960,Athletics,Athletics Men's Shot Put,Gold,USA
1904,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,USA
1984,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,USA
1924,Swimming,Swimming Women's 400 metres Freestyle,Gold,USA
1928,Swimming,Swimming Women's 400 metres Freestyle,Gold,USA
1972,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,USA
1924,Athletics,Athletics Men's Decathlon,Silver,USA
1920,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
1992,Sailing,Sailing Mixed Multihull,Silver,USA
1996,Cycling,Cycling Men's Sprint,Silver,USA
2000,Cycling,Cycling Men's Sprint,Gold,USA
2000,Weightlifting,Weightlifting Women's Flyweight,Gold,USA
1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Bronze,USA
1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Gold,USA
1996,Athletics,Athletics Men's Decathlon,Gold,USA
1984,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,USA
1952,Athletics,Athletics Men's Shot Put,Gold,USA
1956,Athletics,Athletics Men's Shot Put,Gold,USA
1960,Athletics,Athletics Men's Shot Put,Silver,USA
1924,Athletics,Athletics Men's Javelin Throw,Bronze,USA
2000,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold,USA
1904,Fencing,"Fencing Men's Single Sticks, Individual",Silver,USA
1988,Archery,Archery Women's Team,Bronze,USA
1956,Athletics,Athletics Men's Discus Throw,Gold,USA
1960,Athletics,Athletics Men's Discus Throw,Gold,USA
1964,Athletics,Athletics Men's Discus Throw,Gold,USA
1968,Athletics,Athletics Men's Discus Throw,Gold,USA
2008,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
1948,Diving,Diving Women's Springboard,Silver,USA
1952,Diving,Diving Women's Springboard,Bronze,USA
1968,Diving,Diving Women's Springboard,Bronze,USA
1924,Athletics,Athletics Men's High Jump,Gold,USA
1924,Athletics,Athletics Men's Decathlon,Gold,USA
1912,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",Silver,USA
1912,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",Silver,USA
1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold,USA
1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Silver,USA
1932,Athletics,Athletics Women's Discus Throw,Silver,USA
1928,Swimming,Swimming Women's 100 metres Freestyle,Gold,USA
1904,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver,USA
1904,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Gold,USA
1936,Athletics,Athletics Men's 100 metres,Gold,USA
1936,Athletics,Athletics Men's 200 metres,Gold,USA
1936,Athletics,Athletics Men's Long Jump,Gold,USA
1952,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
1976,Archery,Archery Men's Individual,Gold,USA
1984,Archery,Archery Men's Individual,Gold,USA
1920,Athletics,Athletics Men's 100 metres,Gold,USA
1920,Athletics,Athletics Men's 200 metres,Silver,USA
1924,Athletics,Athletics Men's 200 metres,Silver,USA
1984,Boxing,Boxing Men's Light-Welterweight,Gold,USA
1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze,USA
2016,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze,USA
1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold,USA
1896,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold,USA
1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Silver,USA
1988,Cycling,Cycling Women's Sprint,Bronze,USA
1936,Athletics,Athletics Men's Decathlon,Bronze,USA
2004,Gymnastics,Gymnastics Women's Individual All-Around,Gold,USA
2004,Gymnastics,Gymnastics Women's Balance Beam,Silver,USA
1952,Boxing,Boxing Men's Middleweight,Gold,USA
1948,Athletics,Athletics Women's 200 metres,Bronze,USA
1948,Athletics,Athletics Men's 200 metres,Gold,USA
1996,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,USA
2008,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
1920,Diving,Diving Women's Springboard,Bronze,USA
1932,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,USA
1920,Athletics,Athletics Men's 10 kilometres Walk,Silver,USA
1968,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
1968,Swimming,Swimming Women's 200 metres Individual Medley,Silver,USA
1996,Judo,Judo Men's Lightweight,Bronze,USA
2004,Judo,Judo Men's Lightweight,Bronze,USA
2000,Swimming,Swimming Men's 200 metres Backstroke,Silver,USA
2004,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
2004,Swimming,Swimming Men's 200 metres Backstroke,Gold,USA
2008,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
2008,Swimming,Swimming Men's 200 metres Backstroke,Silver,USA
1920,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,USA
1968,Diving,Diving Women's Platform,Bronze,USA
1972,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,USA
1976,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,USA
1972,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,USA
1976,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,USA
2004,Swimming,Swimming Men's 200 metres Freestyle,Bronze,USA
2004,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
2004,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
2004,Swimming,Swimming Men's 200 metres Individual Medley,Gold,USA
2004,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
2008,Swimming,Swimming Men's 200 metres Freestyle,Gold,USA
2008,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
2008,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
2008,Swimming,Swimming Men's 200 metres Individual Medley,Gold,USA
2008,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
2012,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
2012,Swimming,Swimming Men's 200 metres Butterfly,Silver,USA
2012,Swimming,Swimming Men's 200 metres Individual Medley,Gold,USA
2016,Swimming,Swimming Men's 100 metres Butterfly,Silver,USA
2016,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
2016,Swimming,Swimming Men's 200 metres Individual Medley,Gold,USA
2000,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
1988,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
2004,Athletics,Athletics Men's Long Jump,Gold,USA
1992,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
1906,Athletics,Athletics Men's 400 metres,Gold,USA
1906,Athletics,Athletics Men's 800 metres,Gold,USA
1956,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,USA
1920,Diving,Diving Men's Springboard,Silver,USA
1920,Diving,Diving Men's Platform,Gold,USA
1924,Diving,Diving Men's Springboard,Bronze,USA
1924,Diving,Diving Men's Platform,Bronze,USA
1948,Sailing,Sailing Mixed Two Person Keelboat,Bronze,USA
1976,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,USA
2016,Swimming,Swimming Men's 100 metres Backstroke,Bronze,USA
1904,Athletics,Athletics Men's 200 metres Hurdles,Bronze,USA
1904,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
1936,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
1904,Archery,Archery Women's Double Columbia Round,Bronze,USA
1904,Archery,Archery Women's Double National Round,Bronze,USA
1964,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,USA
1920,Athletics,Athletics Men's Discus Throw,Bronze,USA
1932,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Silver,USA
1948,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
1908,Athletics,Athletics Men's High Jump,Gold,USA
2016,Cycling,Cycling Women's BMX,Silver,USA
1976,Diving,Diving Women's Springboard,Bronze,USA
1976,Athletics,Athletics Men's Discus Throw,Bronze,USA
1984,Athletics,Athletics Men's Discus Throw,Bronze,USA
1988,Athletics,Athletics Men's Long Jump,Silver,USA
1992,Athletics,Athletics Men's Long Jump,Silver,USA
1928,Diving,Diving Women's Springboard,Silver,USA
1932,Diving,Diving Women's Platform,Gold,USA
1936,Diving,Diving Women's Springboard,Bronze,USA
1936,Diving,Diving Women's Platform,Gold,USA
1900,Golf,Golf Women's Individual,Bronze,USA
2016,Swimming,Swimming Men's 200 metres Breaststroke,Silver,USA
1952,Sailing,Sailing Mixed Two Person Keelboat,Silver,USA
1920,Diving,Diving Men's Platform,Bronze,USA
1900,Athletics,Athletics Men's Long Jump,Silver,USA
1900,Athletics,Athletics Men's Triple Jump,Gold,USA
1904,Athletics,Athletics Men's Long Jump,Gold,USA
1904,Athletics,Athletics Men's Triple Jump,Gold,USA
1906,Athletics,Athletics Men's Long Jump,Gold,USA
2000,Swimming,Swimming Women's 100 metres Breaststroke,Gold,USA
1956,Boxing,Boxing Men's Heavyweight,Gold,USA
2008,Sailing,Sailing Mixed One Person Dinghy,Silver,USA
2012,Gymnastics,Gymnastics Women's Floor Exercise,Gold,USA
2012,Gymnastics,Gymnastics Women's Balance Beam,Bronze,USA
2016,Gymnastics,Gymnastics Women's Individual All-Around,Silver,USA
2016,Gymnastics,Gymnastics Women's Floor Exercise,Silver,USA
2016,Tennis,Tennis Mixed Doubles,Silver,USA
1964,Athletics,Athletics Men's High Jump,Bronze,USA
1964,Swimming,Swimming Women's 400 metres Freestyle,Silver,USA
1956,Swimming,Swimming Women's 100 metres Butterfly,Silver,USA
1964,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,USA
1976,Boxing,Boxing Men's Flyweight,Gold,USA
1984,Swimming,Swimming Women's 200 metres Breaststroke,Silver,USA
1904,Rowing,Rowing Men's Double Sculls,Bronze,USA
1932,Diving,Diving Women's Springboard,Silver,USA
1936,Diving,Diving Women's Springboard,Silver,USA
1908,Athletics,Athletics Men's 100 metres,Silver,USA
1932,Athletics,Athletics Men's Long Jump,Silver,USA
1924,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,USA
2012,Athletics,Athletics Women's Long Jump,Gold,USA
2016,Athletics,Athletics Women's Long Jump,Silver,USA
1996,Boxing,Boxing Men's Light-Middleweight,Gold,USA
1912,Athletics,Athletics Men's 400 metres,Gold,USA
1984,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,USA
1920,Athletics,"Athletics Men's 3,000 metres Walk",Bronze,USA
1952,Athletics,Athletics Men's 100 metres,Gold,USA
1984,Gymnastics,Gymnastics Women's Individual All-Around,Gold,USA
1984,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,USA
1984,Gymnastics,Gymnastics Women's Horse Vault,Silver,USA
1984,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,USA
1988,Athletics,Athletics Men's 400 metres,Silver,USA
1996,Shooting,Shooting Women's Double Trap,Gold,USA
2000,Shooting,Shooting Women's Double Trap,Bronze,USA
2004,Shooting,Shooting Women's Double Trap,Gold,USA
2008,Shooting,Shooting Women's Skeet,Silver,USA
2012,Shooting,Shooting Women's Skeet,Gold,USA
2016,Shooting,Shooting Women's Skeet,Bronze,USA
1912,Athletics,Athletics Men's High Jump,Gold,USA
1948,Athletics,Athletics Men's Pole Vault,Bronze,USA
1952,Athletics,Athletics Men's Pole Vault,Gold,USA
1956,Athletics,Athletics Men's Pole Vault,Gold,USA
1924,Tennis,Tennis Men's Singles,Gold,USA
2008,Athletics,Athletics Women's 400 metres,Bronze,USA
2012,Athletics,Athletics Women's 400 metres,Gold,USA
1908,Archery,Archery Men's Double York Round,Bronze,USA
2012,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
1984,Swimming,Swimming Women's 800 metres Freestyle,Silver,USA
1936,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Bronze,USA
1920,Diving,Diving Women's Springboard,Gold,USA
1924,Diving,Diving Women's Springboard,Silver,USA
1924,Swimming,Swimming Women's 100 metres Backstroke,Bronze,USA
1924,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
1932,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,USA
1948,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1988,Athletics,Athletics Women's High Jump,Gold,USA
1960,Athletics,Athletics Men's Long Jump,Silver,USA
1976,Athletics,Athletics Men's Pole Vault,Bronze,USA
1904,Athletics,Athletics Men's Standing High Jump,Bronze,USA
1906,Athletics,Athletics Men's Standing High Jump,Silver,USA
1906,Athletics,Athletics Men's Standing Long Jump,Bronze,USA
1964,Swimming,Swimming Men's 200 metres Butterfly,Silver,USA
1968,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
1968,Boxing,Boxing Men's Featherweight,Silver,USA
1972,Athletics,Athletics Men's Long Jump,Bronze,USA
1976,Athletics,Athletics Men's Long Jump,Gold,USA
1928,Athletics,Athletics Women's 100 metres,Gold,USA
2008,Cycling,Cycling Men's BMX,Bronze,USA
1936,Athletics,Athletics Men's 200 metres,Silver,USA
2016,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze,USA
1976,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1976,Swimming,Swimming Men's 200 metres Backstroke,Silver,USA
1904,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,USA
2016,Athletics,Athletics Women's 100 metres Hurdles,Gold,USA
1900,Rugby,Rugby Men's Rugby,Gold,USA
1936,Diving,Diving Men's Platform,Silver,USA
1932,Diving,Diving Women's Platform,Bronze,USA
1904,Athletics,Athletics Men's Shot Put,Gold,USA
1904,Athletics,Athletics Men's Discus Throw,Silver,USA
1904,Athletics,Athletics Men's Hammer Throw,Bronze,USA
1908,Athletics,Athletics Men's Shot Put,Gold,USA
1912,Athletics,Athletics Men's Shot Put,Silver,USA
1912,Athletics,"Athletics Men's Shot Put, Both Hands",Gold,USA
2016,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,USA
1920,Swimming,Swimming Men's 400 metres Freestyle,Gold,USA
1920,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,USA
1964,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
1932,Gymnastics,Gymnastics Men's Club Swinging,Gold,USA
1932,Athletics,Athletics Men's Shot Put,Silver,USA
1972,Swimming,Swimming Women's 200 metres Freestyle,Bronze,USA
1972,Swimming,Swimming Women's 800 metres Freestyle,Gold,USA
1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Silver,USA
1992,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1996,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
2008,Judo,Judo Women's Middleweight,Bronze,USA
1960,Athletics,Athletics Women's 100 metres,Gold,USA
1960,Athletics,Athletics Women's 200 metres,Gold,USA
1984,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold,USA
1988,Synchronized Swimming,Synchronized Swimming Women's Solo,Silver,USA
2012,Athletics,"Athletics Men's 10,000 metres",Silver,USA
2016,Athletics,Athletics Men's Marathon,Bronze,USA
1968,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
1956,Swimming,Swimming Women's 400 metres Freestyle,Bronze,USA
1920,Athletics,Athletics Men's 56-pound Weight Throw,Silver,USA
1920,Athletics,Athletics Men's Hammer Throw,Gold,USA
1972,Diving,Diving Men's Platform,Silver,USA
1976,Archery,Archery Women's Individual,Gold,USA
1968,Athletics,"Athletics Men's 1,500 metres",Silver,USA
1964,Swimming,Swimming Men's 400 metres Individual Medley,Silver,USA
1948,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,USA
1924,Boxing,Boxing Men's Featherweight,Silver,USA
1932,Boxing,Boxing Men's Flyweight,Bronze,USA
1932,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
1904,Athletics,Athletics Men's Pole Vault,Silver,USA
2000,Swimming,Swimming Women's 800 metres Freestyle,Bronze,USA
2004,Swimming,Swimming Women's 400 metres Freestyle,Bronze,USA
2004,Swimming,Swimming Women's 400 metres Individual Medley,Silver,USA
1952,Boxing,Boxing Men's Heavyweight,Gold,USA
1968,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,USA
1972,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,USA
1992,Swimming,Swimming Women's 200 metres Butterfly,Gold,USA
1992,Swimming,Swimming Women's 200 metres Individual Medley,Silver,USA
1992,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,USA
2004,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,USA
1900,Golf,Golf Men's Individual,Gold,USA
1996,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,USA
1948,Weightlifting,Weightlifting Men's Heavyweight,Silver,USA
1952,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,USA
1960,Weightlifting,Weightlifting Men's Heavyweight,Bronze,USA
1964,Weightlifting,Weightlifting Men's Heavyweight,Bronze,USA
1988,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,USA
1904,Cycling,Cycling Men's 5 mile,Gold,USA
1972,Athletics,Athletics Men's Javelin Throw,Bronze,USA
1964,Swimming,Swimming Men's 200 metres Butterfly,Bronze,USA
1972,Athletics,Athletics Women's Javelin Throw,Bronze,USA
1976,Athletics,Athletics Women's Javelin Throw,Bronze,USA
2012,Swimming,Swimming Women's 200 metres Freestyle,Gold,USA
2012,Swimming,Swimming Women's 400 metres Freestyle,Silver,USA
1972,Swimming,Swimming Women's 200 metres Breaststroke,Silver,USA
1952,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1964,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1964,Swimming,Swimming Men's 400 metres Freestyle,Gold,USA
1968,Swimming,Swimming Men's 200 metres Freestyle,Silver,USA
1924,Athletics,Athletics Men's 100 metres,Silver,USA
1924,Athletics,Athletics Men's 200 metres,Gold,USA
1920,Swimming,Swimming Women's 100 metres Freestyle,Bronze,USA
1920,Swimming,Swimming Women's 300 metres Freestyle,Bronze,USA
1964,Athletics,"Athletics Men's 5,000 metres",Gold,USA
1904,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
1960,Swimming,Swimming Women's 100 metres Butterfly,Gold,USA
1984,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,USA
1984,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,USA
1912,Cycling,"Cycling Men's Road Race, Individual",Bronze,USA
1932,Swimming,Swimming Men's 100 metres Freestyle,Bronze,USA
1996,Swimming,Swimming Men's 200 metres Backstroke,Silver,USA
1948,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
2012,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,USA
1968,Athletics,Athletics Men's Pole Vault,Gold,USA
1972,Athletics,Athletics Men's Pole Vault,Silver,USA
1972,Boxing,Boxing Men's Light-Welterweight,Gold,USA
1956,Swimming,Swimming Women's 100 metres Butterfly,Bronze,USA
2000,Tennis,Tennis Women's Singles,Bronze,USA
1904,Athletics,Athletics Men's High Jump,Silver,USA
1984,Diving,Diving Women's Springboard,Bronze,USA
2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,USA
1932,Athletics,Athletics Men's Shot Put,Gold,USA
1948,Athletics,Athletics Men's Javelin Throw,Silver,USA
1956,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
1972,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,USA
1908,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
1976,Swimming,Swimming Men's 400 metres Freestyle,Silver,USA
1900,Athletics,Athletics Men's Shot Put,Gold,USA
1900,Athletics,Athletics Men's Discus Throw,Bronze,USA
1904,Diving,Diving Men's Springboard,Gold,USA
1900,Athletics,Athletics Men's Standing High Jump,Bronze,USA
1900,Athletics,Athletics Men's Triple Jump,Bronze,USA
1956,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,USA
1908,Athletics,Athletics Men's 800 metres,Gold,USA
1908,Athletics,"Athletics Men's 1,500 metres",Gold,USA
1912,Athletics,Athletics Men's 800 metres,Silver,USA
1904,Athletics,Athletics Men's Discus Throw,Gold,USA
1906,Athletics,Athletics Men's Standing Long Jump,Silver,USA
1906,Athletics,Athletics Men's Shot Put,Gold,USA
1906,Athletics,Athletics Men's Stone Throw,Silver,USA
1906,Athletics,Athletics Men's Discus Throw,Gold,USA
1908,Athletics,Athletics Men's Standing Long Jump,Bronze,USA
1908,Athletics,Athletics Men's Discus Throw,Gold,USA
1908,Athletics,"Athletics Men's Discus Throw, Greek Style",Gold,USA
1904,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
2012,Boxing,Boxing Women's Middleweight,Gold,USA
2016,Boxing,Boxing Women's Middleweight,Gold,USA
1920,Athletics,"Athletics Men's 1,500 metres",Bronze,USA
1968,Swimming,Swimming Women's 100 metres Butterfly,Bronze,USA
1932,Athletics,Athletics Women's High Jump,Gold,USA
1976,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
1972,Athletics,Athletics Men's Marathon,Gold,USA
1976,Athletics,Athletics Men's Marathon,Silver,USA
1972,Athletics,Athletics Men's Discus Throw,Silver,USA
1960,Athletics,Athletics Men's 100 metres,Silver,USA
1948,Athletics,Athletics Men's Decathlon,Bronze,USA
1952,Athletics,Athletics Men's Decathlon,Bronze,USA
1908,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver,USA
1992,Athletics,Athletics Men's Triple Jump,Silver,USA
1932,Athletics,Athletics Men's 200 metres,Silver,USA
1964,Diving,Diving Men's Springboard,Gold,USA
1924,Swimming,Swimming Men's 200 metres Breaststroke,Gold,USA
2000,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,USA
1948,Sailing,Sailing Mixed Two Person Keelboat,Gold,USA
1952,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,USA
1948,Swimming,Swimming Men's 400 metres Freestyle,Gold,USA
1988,Athletics,Athletics Men's 100 metres,Bronze,USA
1924,Diving,Diving Women's Plain High,Gold,USA
1948,Athletics,Athletics Men's Pole Vault,Gold,USA
1932,Diving,Diving Men's Springboard,Silver,USA
1932,Diving,Diving Men's Platform,Gold,USA
1988,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,USA
1992,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,USA
2016,Swimming,Swimming Women's 400 metres Freestyle,Bronze,USA
1992,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,USA
1968,Athletics,Athletics Men's 200 metres,Gold,USA
1908,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
2016,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,USA
1948,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,USA
2008,Swimming,Swimming Women's 100 metres Breaststroke,Silver,USA
2008,Swimming,Swimming Women's 200 metres Breaststroke,Gold,USA
2012,Swimming,Swimming Women's 100 metres Breaststroke,Silver,USA
2012,Swimming,Swimming Women's 200 metres Breaststroke,Gold,USA
1956,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
1904,Boxing,Boxing Men's Lightweight,Gold,USA
1904,Boxing,Boxing Men's Welterweight,Silver,USA
1948,Weightlifting,Weightlifting Men's Middleweight,Gold,USA
1924,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,USA
2016,Athletics,Athletics Women's 400 metres Hurdles,Bronze,USA
1976,Boxing,Boxing Men's Light-Heavyweight,Gold,USA
1976,Boxing,Boxing Men's Middleweight,Gold,USA
1968,Swimming,Swimming Men's 100 metres Freestyle,Bronze,USA
1968,Swimming,Swimming Men's 100 metres Butterfly,Silver,USA
1972,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1972,Swimming,Swimming Men's 200 metres Freestyle,Gold,USA
1972,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
1972,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",Bronze,USA
1904,Boxing,Boxing Men's Middleweight,Silver,USA
1984,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold,USA
1948,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
1904,Athletics,Athletics Men's Standing High Jump,Silver,USA
1904,Athletics,Athletics Men's Standing Triple Jump,Bronze,USA
1972,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1972,Swimming,Swimming Men's 200 metres Backstroke,Silver,USA
1948,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,USA
1952,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,USA
1952,Athletics,Athletics Men's 200 metres,Gold,USA
1956,Athletics,Athletics Men's 200 metres,Silver,USA
1904,Athletics,Athletics Men's Long Jump,Bronze,USA
1904,Athletics,Athletics Men's Triple Jump,Bronze,USA
1948,Athletics,Athletics Men's High Jump,Bronze,USA
1952,Swimming,Swimming Men's 200 metres Breaststroke,Silver,USA
1964,Sailing,Sailing Mixed Two Person Keelboat,Silver,USA
1924,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,USA
1984,Sailing,Sailing Men's Windsurfer,Silver,USA
1948,Athletics,Athletics Men's Long Jump,Gold,USA
1968,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold,USA
1936,Athletics,Athletics Women's 100 metres,Gold,USA
1988,Swimming,Swimming Women's 50 metres Freestyle,Bronze,USA
2016,Judo,Judo Men's Half-Middleweight,Silver,USA
2016,Boxing,Boxing Men's Bantamweight,Silver,USA
2004,Athletics,Athletics Men's Pole Vault,Silver,USA
1992,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
1964,Swimming,Swimming Women's 400 metres Freestyle,Bronze,USA
1984,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,USA
2016,Rowing,Rowing Women's Single Sculls,Silver,USA
1972,Athletics,Athletics Men's High Jump,Bronze,USA
1976,Athletics,Athletics Men's High Jump,Bronze,USA
1964,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
1964,Swimming,Swimming Women's 100 metres Butterfly,Gold,USA
1952,Diving,Diving Women's Platform,Bronze,USA
1956,Diving,Diving Women's Platform,Silver,USA
1976,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
1904,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze,USA
1904,Roque,Roque Men's Singles,Silver,USA
1912,Athletics,Athletics Men's Marathon,Bronze,USA
2008,Athletics,Athletics Women's Pole Vault,Silver,USA
2012,Athletics,Athletics Women's Pole Vault,Gold,USA
1992,Athletics,Athletics Men's Shot Put,Gold,USA
1956,Diving,Diving Women's Springboard,Silver,USA
1904,Boxing,Boxing Men's Lightweight,Bronze,USA
1968,Swimming,Swimming Women's 100 metres Backstroke,Bronze,USA
1988,Judo,Judo Men's Lightweight,Bronze,USA
1912,Athletics,"Athletics Men's 1,500 metres",Bronze,USA
1996,Boxing,Boxing Men's Light-Heavyweight,Bronze,USA
1984,Boxing,Boxing Men's Light-Middleweight,Gold,USA
1976,Boxing,Boxing Men's Heavyweight,Bronze,USA
1904,Fencing,"Fencing Men's Foil, Individual",Bronze,USA
1904,Fencing,"Fencing Men's epee, Individual",Silver,USA
2000,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
2008,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
